ID,ФИО,Instagram
399376,Метелев Артем Павлович,artmetelev
2478,Милонов Виталий Валентинович,villemilonov
423,Минниханов Рустам Нургалиевич,rusminnikhanov
60984,Минцаев Магомед Шавалович,lgbt
80,Миронов Сергей Михайлович,mironov.online
15985,Моор Александр Викторович,aleksandr__moor
485,Морозов Сергей Иванович,morozov_si
315,Москалькова Татьяна Николаевна,moskalkova.official
1898,Мурашко Михаил Альбертович,murashko_mikhail_a
399373,Мусатов Иван Михайлович,ivan_musatov_ldpr
668,Мутко Виталий Леонтьевич,mutko_official
1337,Навальный Алексей Анатольевич,navalny
211,Неверов Сергей Иванович,sergey.neverov
399371,Немкин Антон Игоревич,anton.nemkin
399370,Нечаев Алексей Геннадьевич,a.g.nechaev
31922,Николаев Николай Петрович,nikpnik
443,Николаева Елена Леонидовна,elena__nikolaeva
350,Носов Дмитрий Юрьевич,nosov_official
203397,Нуриев Марат Абдулхаевич,nurievma
43,Обухов Сергей Павлович,sobuhov
11671,Орешкин Максим Станиславович,oreshkin_max
17637,Орлов Алексей Валерьевич,glava.ekb
100,Островский Алексей Владимирович,always_open_heart
136062,Панин Геннадий Олегович,gennadypanin
1906,Парфенчиков Артур Олегович,aparfenchikov
17638,Паслер Денис Владимирович,dpasler.official
13071,Петров Вячеслав Анатольевич,vyacheslav.petrov
520,Пимашков Петр Иванович,petr_pimashkov
3062,Плахотников Алексей Михайлович,a.m.plakhotnikov
399359,Погорелый Дмитрий Викторович,pogorelyi_dv
22695,Поклонская Наталья Владимировна,nv_poklonskaya
13639,Полякова Алла Викторовна,polyakova__alla
84,Пономарев Илья Владимирович,ponomareviv
399358,Попов Евгений Георгиевич,popovrtr
167172,Прилепин Евгений Николаевич,zakharprilepin
484,Прокопьев Александр Сергеевич,asprokopyev
14720,Прокофьев Артем Вячеславович,artem_prokofiev
582,Путин Владимир Владимирович,russian_kremlin
1427,Радаев Валерий Васильевич,radaev_v.v
399356,Разворотнева Светлана Викторовна,svetlana.razvorotneva
2748,Расторгуев Николай Вячеславович,nvrastorguev
49,Рашкин Валерий Федорович,rashkinv
2799,Решетников Максим Геннадьевич,reshetnikovmg
164,Роднина Ирина Константиновна,irina.rodnina
137089,Ростовцев Павел Александрович,rostovtsev.pavel
399354,Румянцев Никита Геннадьевич,n.rumyantsev
53,Русских Алексей Юрьевич,russkih_aleksey
399353,Рябцева Жанна Анатольевна,zhanna_ryabseva
166,Савченко Евгений Степанович,gubernator.savchenko
399352,Самокиш Владимир Игоревич,samokish_vladimir
203358,Самокутяев Александр Михайлович,aleksandrsamokutiaev
15779,Сапко Игорь Вячеславович,igorsapko
399351,Саранова Юлия Владимировна,im_saranova
429,Сафин Марат Мубинович,iamsafinmarat
886,Сватковский Дмитрий Валерьевич,dsvatkovsky
137281,Семигин Геннадий Юрьевич,gennadiysemigin
1447,Сипягин Владимир Владимирович,vladimirsipiagin
1408,Ситников Сергей Константинович,sk_sitnikov
13032,Слабунова Эмилия Эдгардовна,emiliiaslabunova
105,Слуцкий Леонид Эдуардович,leonid.slutsky.news
51722,Собчак Ксения Анатольевна,xenia_sobchak
496,Собянин Сергей Семенович,mossobyanin
1922,Старовойт Роман Владимирович,gubernator46
399343,Тарбаев Сангаджи Андреевич,tarbaev_s
1132,Тарнавский Александр Георгиевич,tarnavski.alex
399342,Татриев Муслим Барисович,muslim_tatrievb
11711,Текслер Алексей Леонидович,alexeytexler.official
32065,Толстой Петр Олегович,petr_tolstoy
802,Томенко Виктор Петрович,gubernator_tomenko
41506,Травников Андрей Александрович,travnikov.andrey
1406,Тулеев Аман Гумирович,tuleev_a.g
580,Тулеев Аман-Гельды Молдагазыевич,tuleev_a.g
86,Тумусов Федот Семенович,fedot_tumusov
447,Турчак Андрей Анатольевич,er_turchak
1919,Уйба Владимир Викторович,vladimiruiba
13275,Усс Александр Викторович,uss_av
1615,Утяшева Римма Амировна,rimmautiasheva
630,Федяев Павел Михайлович,fedyaev.pavel
108,Фургал Сергей Иванович,s.furgal
399335,Хамзаев Бийсултан Султанбиевич,sultanhamzaev
138014,Ханбиев Магомед Ильманович,jaguar_khan
15267,Ханбиев Мохмад Ильманович,jaguar_khan
4928,Хасиков Бату Сергеевич,batukhasikov
283,Хинштейн Александр Евсеевич,hinshtein_a
376670,Ховалыг Вячеслав Товарищтаевич,vladislav.khovalyg
848,Хуснуллин Марат Шакирзянович,maratkhusnullin_
60856,Цискаридзе Николай Максиимович,tsiskaridzenikolay
399330,Чемерис Роза Басировна,rozachemeris
11660,Чибис Андрей Владимирович,chibis.andrey
15538,Шапша Владислав Валерьевич,vladislavshapsha
138328,Шевченко Максим Леонардович,shevchenkomax
201876,Шипулин Антон Владимирович,anton_shipulin
955,Шумков Вадим Михайлович,shumkov_vm
132655,Якубовский Александр Владимирович,yakubovsky
23828,Ялалов Ирек Ишмухаметович,yalalov_irek
